fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
314;Pozo;6724;1/01/1998;Sidemu¤a 2;980816;993645;SIBAT;2583.584295;-72.5;-10.07;1;583156.577;501717.4741;-74.25037896;4.538710686;450;1.185586;-11.9388504;-81.94308472
315;Pozo;8121;10/31/2017;;980815;993645;SIBAT;2583.584295;-72.5;-10.07;10;583155.5773;501717.4729;-74.25038797;4.538710684;450;1.185586;-11.9388504;-81.94308472
316;Pozo;8141;11/03/2010;MANUFACTURAS ELIOT No 2 - FONTIBON- (FUCHA);995590;1005059;BOGOTµ D.C.;2547.427942;-68.5;-9.86;11;597911.4248;513147.0697;-74.11725312;4.64194837;239;1.190073;-11.73412132;-86.42559052
317;Pozo;8158;11/05/2010;GENERAL MOTORS - TUNJUELITO- (TUNJUELO);992285;998742;BOGOTµ D.C.;2554.282653;-72.7;-10.5;11;594615.5507;506827.601;-74.14703392;4.584820797;228;1.197248;-12.57110023;-90.43601227
318;Pozo;6699;1/01/1998;Colortex;996530;1003450;BOGOTµ D.C.;2555.536886;-64.3;-9.18;1;598853.2532;511539.7448;-74.10878071;4.627398447;213;1.203189;-11.04527473;-77.43749237
319;Pozo;8085;10/31/2017;;996530;1003450;BOGOTµ D.C.;2555.536886;-64.3;-9.18;10;598853.2532;511539.7448;-74.10878071;4.627398447;213;1.203189;-11.04527473;-77.43749237
320;Pozo;6723;1/01/1998;Calichoso Mufla;981816;992356;SIBAT;2595;-70.6;-9.86;1;584157.8983;500430.1568;-74.24136515;4.527056245;48;1.206663;-11.89770031;-82.83701324
321;Pozo;8134;11/02/2010;NATESA - TUNJUELITO- (TUNJUELO);992595;998934;BOGOTµ D.C.;2555.354091;-73.9;-10.38;11;594925.2136;507019.9442;-74.14424042;4.58655734;90;1.21103;-12.57049465;-90.59410095
322;Pozo;8142;11/03/2010;GASEOSAS COLOMBIANA No 2 - KENNEDY- (TUNJUELO);992213;1000129;BOGOTµ D.C.;2554.966679;-70.6;-10.12;11;594541.7845;508214.1049;-74.14768399;4.597363521;180;1.211287;-12.25822926;-87.26712036
323;Pozo;8151;11/04/2010;JARDINES DEL APOGEO No 1 - BOSA- (TUNJUELO);989480;1000258;BOGOTµ D.C.;2548.09542;-76.2;-10.78;11;591809.4227;508339.5403;-74.17231379;4.598527229;60.6;1.216646;-13.11544323;-94.60847473
