fid;TIPO;ID_DATO;FECHA;NOMBRE;POINT_X;POINT_Y;MUNICIPIO;ELEV_TERR;DEUT_2H;OXIG_18;Month;CooX;CooY;Lon;Lat;PROF_MAX;P/GW;O18;2H
66;Pozo;8066;10/31/2017;;1020780;1054660;NEMOCàN;2593;-89;-12.66;10;623027.3739;562770.0337;-73.8901041;5.09046609;97;0.685441;-8.677685738;-56.63957214
67;Manantial;6753;1/01/1999;;995600;1038460;SUBACHOQUE;2956;-72.5;-10.365;1;597876.4972;546538.6465;-74.11718041;4.943995568;0.1;0.685818;-7.108505249;-46.02249527
68;Pozo;8171;11/09/2010;parqueadero punto de plata LUIS ENRIQUE PLATA - TEUSAQUILLO- (SALITRE);1000907;1005012;BOGOTµ D.C.;2557.783822;-62.7;-9.4;11;603227.0201;513107.009;-74.06933357;4.641524416;58.4;0.686215;-6.450421333;-38.04969788
69;Pozo;8136;11/02/2010;ASITEX LTDA No 2 - PUENTE ARANDA- (FUCHA);996380;1004824;BOGOTµ D.C.;2548.901081;-67;-9.88;11;598701.5085;512913.1647;-74.11013313;4.639823607;256;0.693079;-6.847621441;-42.68226624
70;Manantial;6736;1/01/1999;;1047530;1060370;CHOCONTµ;2679;-73.8;-10.19;1;649764.2216;568517.3845;-73.64882894;5.141984622;0.1;0.693141;-7.063105583;-42.23971939
71;Pozo;8178;11/17/2010;MEALS - SUBA- (SALITRE);1000007;1010838;BOGOTµ D.C.;2551.437094;-64.7;-9.56;11;602319.6311;518930.2563;-74.07744482;4.694209525;173;0.700996;-6.701524258;-39.25138474
72;Pozo;6827;1/01/1999;;987010;1020270;TENJO;2581;-72.6;-10.44;1;589313.8333;528342.2653;-74.19460345;4.779493812;80;0.703222;-7.341639519;-49.53143311
73;Pozo;6716;1/01/1998;Colegio Los Nogales;1002300;1020470;BOGOTµ D.C.;2554.578104;-63.3;-9.55;1;604599.209;528562.7197;-74.056775;4.781312112;96;0.706542;-6.747475624;-42.10700226
74;Manantial;6621;1/01/1998;Manantial El Rat¢n;1039820;1063730;SUESCA;2811;-74.5;-10.42;1;642050.6007;571865.6838;-73.7183483;5.17241133;0.1;0.710656;-7.405030727;-45.04629898
75;Pozo;6658;1/01/1998;Promasa 4;970627;1021850;FACATATIVµ;2615;-66.4;-9.1;1;572934.0355;529899.7472;-74.34228917;4.79374056;198.86;0.711733;-6.476768017;-39.22144699
76;Pozo;8110;10/31/2017;;970627;1021850;FACATATIVµ;2615;-66.4;-9.1;10;572934.0355;529899.7472;-74.34228917;4.79374056;198.86;0.711733;-6.476768017;-39.22144699
77;Manantial;6737;1/01/1999;;1045750;1066350;CHOCONTµ;2897;-69.05;-9.89;1;647975.8197;574493.8834;-73.66484769;5.196070688;0.1;0.712558;-7.047200203;-42.48539352
78;Manantial;8040;10/31/2017;;1045750;1066350;CHOCONTµ;2897;-69.05;-9.89;10;647975.8197;574493.8834;-73.66484769;5.196070688;0.1;0.712558;-7.047200203;-42.48539352
79;Pozo;8174;11/16/2010;COUNTRY No 2 - USAQUEN- (SALITRE);1004516;1012397;BOGOTµ D.C.;2556.638591;-62.6;-9.38;11;606825.3767;520494.7913;-74.03680356;4.708306504;122;0.714448;-6.701524258;-39.25138474
80;Pozo;7235;1/01/2001;;971790;1020500;FACATATIVµ;2590;-78.5;-11.61;1;574098.4487;528551.7743;-74.33180094;4.781536529;197;0.715274;-8.304336548;-62.77542496
81;Pozo;7249;1/01/2001;;982800;1016630;MADRID;2576;-73.77;-10.68;1;585110.0017;524697.7652;-74.23254613;4.74656963;353;0.718135;-7.669677258;-55.86472702
82;Manantial;6745;1/01/1999;;1035660;1056800;SUESCA;2676;-76.7;-10.8;1;637901.3321;564930.9023;-73.75590076;5.109764721;0.1;0.718762;-7.762630463;-47.51732635
83;Manantial;8044;10/31/2017;;1035660;1056800;SUESCA;2676;-76.7;-10.8;10;637901.3321;564930.9023;-73.75590076;5.109764721;0.1;0.718762;-7.762630463;-47.51732635
84;Manantial;6735;1/01/1999;;1049400;1067810;VILLAPINZàN;2788;-71.2;-9.78;1;651623.1356;575958.992;-73.63191644;5.209250603;0.1;0.720573;-7.047200203;-42.48539352
85;Manantial;8039;10/31/2017;;1049400;1067810;VILLAPINZàN;2788;-71.2;-9.78;10;651623.1356;575958.992;-73.63191644;5.209250603;0.1;0.720573;-7.047200203;-42.48539352
86;Pozo;6657;1/01/1998;Miramar;976510;1021280;MADRID;2587;-72.5;-10.18;1;578815.8117;529337.849;-74.28925589;4.788604539;197;0.721183;-7.341639519;-49.53143311
87;Pozo;8083;10/31/2017;;976345;1021320;MADRID;2592;-72.5;-10.18;10;578650.8126;529377.6141;-74.29074337;4.788965797;197;0.721183;-7.341639519;-49.53143311
88;Pozo;8175;11/16/2010;LA AGUADORA - EAAB - USAQUEN- (TORCA);1005911;1010589;BOGOTµ D.C.;2669.759199;-68.4;-10.1;11;608222.4015;518689.0981;-74.02423116;4.691955764;;0.723521;-7.307566166;-52.26533127
89;Aljibe;6796;1/01/1999;;983440;1013030;MOSQUERA;2570;-70.1;-9.58;1;585754.5793;521099.7453;-74.22677031;4.714015935;;0.734221;-7.033834457;-48.48610306
90;Rio;6746;1/01/1999;;1036500;1054950;SUESCA;2822;-75.3;-10.565;1;638743.8293;563082.4385;-73.74833365;5.09303165;0.1;0.73475;-7.762630463;-47.51732635
91;Rio;8045;10/31/2017;;1036500;1054950;SUESCA;2822;-75.3;-10.565;10;638743.8293;563082.4385;-73.74833365;5.09303165;0.1;0.73475;-7.762630463;-47.51732635
92;Manantial;6734;1/01/1999;;1047000;1060380;CHOCONTµ;2678;-66.15;-9.6;1;649234.2877;568526.6181;-73.65360892;5.142078245;0.1;0.73574;-7.063105583;-42.23971939
93;Manantial;6730;1/01/1999;;989000;1041900;SUBACHOQUE;3209;-71.65;-10.44;1;591273.6306;549968.4608;-74.17669375;4.975097263;0.1;0.737088;-7.695199966;-53.96866608
94;Pozo;7248;1/01/2001;;998100;1025500;COTA;2582;-41.79;-11.48;1;600393.5655;533585.695;-74.09463625;4.826798791;;0.737869;-8.47073555;-59.53157806
95;Pozo;7246;1/01/2001;;1022600;1046450;GACHANCIPµ;2585;-70.38;-11.47;1;624858.6221;554564.3936;-73.87371375;5.016218627;82;0.738046;-8.465386391;-56.39035416
96;Pozo;6666;1/01/1998;La Gioconda;993450;1022130;COTA;2880;-72;-10.61;1;595749.4274;530210.3671;-74.13655294;4.796321357;100;0.742793;-7.88103199;-53.4583168
97;Pozo;8099;10/31/2017;;993450;1022130;COTA;2880;-72;-10.61;10;595749.4274;530210.3671;-74.13655294;4.796321357;100;0.742793;-7.88103199;-53.4583168
98;Rio;6692;1/01/1998;Rfo Chic¢;994660;1017580;COTA;2563;-60.4;-8.54;1;596965.1786;525663.2919;-74.12564252;4.75517628;0.1;0.74298;-6.345050335;-38.56540298
99;Pozo;8183;11/18/2010;COLEGIO EL ROSARIO - SUBA- (TORCA);1001218;1021441;BOGOTµ D.C.;2554.89619;-68.9;-10.04;11;603516.1937;529532.0074;-74.06652834;4.790093152;150;0.745033;-7.480134487;-52.04560852
100;Rio;6622;1/01/1998;R¡o Bogot  La Hondura;1055800;1070200;VILLAPINZàN;2839;-69.9;-10.11;1;658018.7471;578358.0372;-73.57417218;5.230818885;0.1;0.7459;-7.541049957;-47.46853256
101;Pozo;8160;11/08/2010;COLEGIO DE LA ENSENANZA No 2 - SUBA- (TORCA);1002771;1020707;BOGOTµ D.C.;2555.037972;-61.8;-9.04;11;605069.7661;528800.289;-74.05252918;4.783455176;110;0.746402;-6.747475624;-42.10700226
102;Pozo;7238;1/01/2001;;1001340;1020545;BOGOTµ D.C.;2560.130953;-63.66;-10.97;1;603639.3644;528636.4115;-74.06542873;4.781990549;;0.749403;-8.220954895;-52.82256699
103;Rio;6738;1/01/1999;;1057600;1067650;VILLAPINZàN;3249;-67.65;-10.15;1;659822.2517;575811.001;-73.55795496;5.207747088;0.1;0.750995;-7.622600079;-51.50659561
104;Manantial;6742;1/01/1999;;1031910;1059780;SUESCA;2983;-73.5;-10.23;1;634147.7455;567904.956;-73.78970856;5.136728493;0.1;0.752869;-7.701849937;-48.16018295
105;Manantial;8042;10/31/2017;;1031910;1059780;SUESCA;2983;-73.5;-10.23;10;634147.7455;567904.956;-73.78970856;5.136728493;0.1;0.752869;-7.701849937;-48.16018295
106;Manantial;6743;1/01/1999;;1033780;1050480;SESQUIL;2869;-69.65;-9.815;1;636030.6899;558609.3825;-73.77288261;5.052622161;0.1;0.754257;-7.403030872;-46.65603256
107;Manantial;8043;10/31/2017;;1033780;1050480;SESQUIL;2869;-69.65;-9.815;10;636030.6899;558609.3825;-73.77288261;5.052622161;0.1;0.754257;-7.403030872;-46.65603256
108;Pozo;6683;1/01/1998;Santillana 1;971889;1018639;FACATATIVµ;2583;-74.6;-10.58;1;574199.9073;526691.5446;-74.33090235;4.764707879;359;0.758146;-8.021181107;-60.93054962
109;Pozo;8120;10/31/2017;;971889;1018639;FACATATIVµ;2583;-74.6;-10.58;10;574199.9073;526691.5446;-74.33090235;4.764707879;359;0.758146;-8.021181107;-60.93054962
110;Manantial;6733;1/01/1999;;1044130;1062250;CHOCONTµ;2650;-72.25;-10.235;1;646362.0333;570392.177;-73.67948287;5.159004859;0.1;0.75844;-7.762630463;-47.51732635
111;Manantial;8038;10/31/2017;;1044130;1062250;CHOCONTµ;2650;-72.25;-10.235;10;646362.0333;570392.177;-73.67948287;5.159004859;0.1;0.75844;-7.762630463;-47.51732635
112;Manantial;6771;1/01/1999;;1007930;1022420;BOGOTµ D.C.;3137;-69.05;-10.3;1;610225.1327;530519.7841;-74.0060226;4.798942653;0.1;0.759609;-7.823971272;-52.66571045
113;Manantial;8049;10/31/2017;;1007930;1022420;BOGOTµ D.C.;3137;-69.05;-10.3;10;610225.1327;530519.7841;-74.0060226;4.798942653;0.1;0.759609;-7.823971272;-52.66571045
114;Rio;6695;1/01/1998;R¡o Subachoque;980200;1009300;MOSQUERA;2561;-65.2;-9.3;1;582520.524;517366.6584;-74.25596515;4.680278503;0.1;0.762373;-7.090070248;-49.71907806
115;Manantial;6752;1/01/1999;;991375;1032650;SUBACHOQUE;3021;-71.35;-10.275;1;593660.7312;540724.4893;-74.1552689;4.891452252;0.1;0.764876;-7.859099865;-53.15644836
116;Pozo;6627;1/01/1998;El Turpial;1005210;1044550;ZIPAQUIRµ;2871;-70.5;-9.77;1;607475.4021;552640.4055;-74.03052818;4.999067019;188;0.771656;-7.53908062;-48.52206421
117;Pozo;8082;10/31/2017;;1005210;1044550;ZIPAQUIRµ;2871;-70.5;-9.77;10;607475.4021;552640.4055;-74.03052818;4.999067019;188;0.771656;-7.53908062;-48.52206421
118;Manantial;6731;1/01/1999;;990700;1047810;SUBACHOQUE;3359;-62.1;-9.305;1;592964.831;555879.09;-74.16137184;5.028543491;0.1;0.772552;-7.188600063;-50.18803406
119;Pozo;6840;1/01/1999;;1005200;1024600;BOGOTµ D.C.;2583.938079;-76.7;-10.91;1;607492.8863;532695.5445;-74.03063095;4.818658643;183;0.776419;-8.47073555;-58.81492233
120;Manantial;6728;1/01/1999;;986120;1041000;SUBACHOQUE;3033;-67.75;-9.865;1;588395.7585;549064.7164;-74.20266083;4.966954149;0.1;0.782691;-7.721250057;-53.79669189
121;Manantial;8036;10/31/2017;;986120;1041000;SUBACHOQUE;3033;-67.75;-9.865;10;588395.7585;549064.7164;-74.20266083;4.966954149;0.1;0.782691;-7.721250057;-53.79669189
122;Humedal;8188;12/11/2010;Humedal Guaymaral;1003969;1023161;BOGOTµ D.C.;2546.483452;-75.7;-10.81;12;606264.1493;531255.2559;-74.04172885;4.805646363;0.1;0.783602;-8.47073555;-58.81492233
123;Pozo;6685;1/01/1998;Flores de Mayo;984000;1019500;FUNZA;2579;-70.6;-10.08;1;586305.7925;527568.4685;-74.22173493;4.772525501;279;0.789123;-7.954361439;-57.9794426
124;Pozo;8116;10/31/2017;;984000;1019500;FUNZA;2579;-70.6;-10.08;10;586305.7925;527568.4685;-74.22173493;4.772525501;279;0.789123;-7.954361439;-57.9794426
125;Pozo;7242;1/01/2001;;1001600;1022900;BOGOTµ D.C.;2554.787516;-61.42;-10.36;1;603896.1274;530991.1308;-74.06308456;4.803286911;252;0.793349;-8.219093323;-55.48789597
126;Pozo;7241;1/01/2001;;1002950;1014345;BOGOTµ D.C.;2555.274413;-86.52;-10.22;1;605257.2079;522440.2081;-74.05091782;4.725923105;82;0.79475;-8.122340202;-51.76466751
127;Manantial;6758;1/01/1999;;977920;1029390;FACATATIVµ;2728;-70.35;-10.4;1;580214.3672;537447.0893;-74.27656702;4.861947063;0.1;0.797532;-8.294330597;-55.29022598
128;Pozo;6659;1/01/1998;Las Caicas 2;977120;1023070;FACATATIVµ;2584;-72.5;-10.6;1;579423.2011;531128.0792;-74.28376199;4.80479319;281;0.799126;-8.47073555;-58.79953003
129;Pozo;8087;10/31/2017;;977120;1023070;FACATATIVµ;2584;-72.5;-10.6;10;579423.2011;531128.0792;-74.28376199;4.80479319;281;0.799126;-8.47073555;-58.79953003
130;Pozo;6686;1/01/1998;Municipio Boj ac ;970910;1014820;BOJACµ;2599;-71.8;-10.02;1;573226.3312;522872.5532;-74.33971403;4.730169439;225;0.800517;-8.021181107;-60.93054962
131;Pozo;8114;10/31/2017;;970910;1014820;BOJACµ;2599;-71.8;-10.02;10;573226.3312;522872.5532;-74.33971403;4.730169439;225;0.800517;-8.021181107;-60.93054962
132;Manantial;6732;1/01/1999;;991200;1048250;SUBACHOQUE;3416;-63.5;-9.57;1;593464.0627;556319.6662;-74.15686351;5.03252297;0.1;0.802419;-7.679150105;-57.54067612
133;Pozo;6841;1/01/1999;;1000800;1019280;BOGOTµ D.C.;2629.337521;-70.7;-9.63;1;603101.2051;527371.0275;-74.07029658;4.77055114;216;0.807759;-7.77872324;-57.3168335
134;Aljibe;8161;11/08/2010;Pequeñitas y Pequeñitos de Jesus - SUBA- (TORCA);998170;1017712;BOGOTµ D.C.;2551.341707;-78.3;-11.35;11;600474.0182;525799.9393;-74.09400351;4.756371449;2;0.808497;-9.176441193;-62.95465469
135;Pozo;6675;1/01/1998;Juanamb£ 2;970320;1017260;BOJACµ;2588;-75.5;-9.87;1;572633.2891;525310.9247;-74.34504051;4.752232265;202;0.812683;-8.021181107;-60.93054962
136;Pozo;8109;10/31/2017;;970320;1017260;BOJACµ;2588;-75.5;-9.87;10;572633.2891;525310.9247;-74.34504051;4.752232265;202;0.812683;-8.021181107;-60.93054962
137;Pozo;6633;1/01/1998;San Ignacio;1018450;1043910;TOCANCIPµ;2588;-76.3;-10.37;1;620713.1008;552019.1227;-73.91114181;4.993260096;70;0.816344;-8.465491295;-57.07544708
138;Pozo;6642;1/01/1998;La Torre de Vig¡a;970016;1025940;FACATATIVµ;2637;-67.2;-9.7;1;572317.7247;533987.5049;-74.34781155;4.830724088;60;0.816527;-7.920312881;-53.06278992
139;Pozo;8095;10/31/2017;;970016;1025940;FACATATIVµ;2637;-67.2;-9.7;10;572317.7247;533987.5049;-74.34781155;4.830724088;60;0.816527;-7.920312881;-53.06278992
140;Pozo;6655;1/01/1998;PradoGrande;981790;1026360;EL ROSAL;2602;-74.2;-10.45;1;584087.2414;534423.3309;-74.24167108;4.834556148;180;0.818688;-8.555293083;-61.91918564
141;Pozo;8081;10/31/2017;;981790;1026360;EL ROSAL;2602;-74.2;-10.45;10;584087.2414;534423.3309;-74.24167108;4.834556148;180;0.818688;-8.555293083;-61.91918564
142;Pozo;8177;11/17/2010;INGEOMINAS No 2 - TEUSAQUILLO- (SALITRE);998248;1004744;BOGOTµ D.C.;2549.958795;-60.2;-9.16;11;600569.0932;512835.6192;-74.09329778;4.639100736;;0.818987;-7.501921654;-48.30513
143;Pozo;6631;1/01/1998;Agromonte;1022600;1046450;GACHANCIPµ;2585;-74.3;-10.33;1;624858.6221;554564.3936;-73.87371375;5.016218627;82;0.819495;-8.465386391;-56.39035416
144;Pozo;8056;10/31/2017;;1022600;1046450;GACHANCIPµ;2585;-74.3;-10.33;10;624858.6221;554564.3936;-73.87371375;5.016218627;82;0.819495;-8.465386391;-56.39035416
145;Pozo;7247;1/01/2001;;1023930;1054700;NEMOCàN;2605;-66.14;-10.67;1;626176.6394;562814.525;-73.86169592;5.090818913;100;0.822093;-8.771736145;-58.06475067
146;Pozo;6623;1/01/1998;Villa Mercedes 1;1014360;1051210;COGUA;2588;-70.7;-10.27;1;616613.7451;559311.6746;-73.94800878;5.05928212;40;0.824283;-8.465386391;-56.39035416
147;Aljibe;6795;1/01/1999;;993920;1025100;TENJO;2587;-68.2;-10.255;1;596215.2837;533180.1479;-74.13231827;4.823179575;;0.82601;-8.47073555;-58.79953003
148;Manantial;6760;1/01/1999;;995490;1025470;TENJO;2751;-66.85;-10.355;1;597784.3356;533552.1682;-74.11816514;4.826526498;0.1;0.826199;-8.555293083;-60.63032913
149;Manantial;8048;10/31/2017;;995490;1025470;TENJO;2751;-69.85;-10.355;10;597784.3356;533552.1682;-74.11816514;4.826526498;0.1;0.826199;-8.555293083;-60.63032913
150;Pozo;6756;1/01/1999;;981790;1026360;EL ROSAL;2602;-69.4;-10.35;1;584087.2414;534423.3309;-74.24167108;4.834556148;180;0.826598;-8.555293083;-61.91918564
151;Pozo;6826;1/01/2000;;990226;1025990;TENJO;2587;-75.4;-10.54;1;592521.1548;534064.8847;-74.16562019;4.831224378;90;0.827172;-8.718392372;-62.01530838
152;Pozo;6632;1/01/1998;Las Palmas 3;1018270;1044830;TOCANCIPµ;2586;-75;-10.39;1;620531.8511;552938.6632;-73.91276281;5.001580035;140;0.828767;-8.61088562;-57.81786346
153;Pozo;8074;10/31/2017;;1018270;1044830;TOCANCIPµ;2586;-75;-10.39;10;620531.8511;552938.6632;-73.91276281;5.001580035;140;0.828767;-8.61088562;-57.81786346
154;Pozo;6719;1/01/1998;Torca 2;1005200;1024600;BOGOTµ D.C.;2583.938079;-70;-10.22;1;607492.8863;532695.5445;-74.03063095;4.818658643;183;0.828839;-8.47073555;-58.81492233
155;Pozo;8107;10/31/2017;;1005200;1024600;BOGOTµ D.C.;2583.938079;-70;-10.22;10;607492.8863;532695.5445;-74.03063095;4.818658643;183;0.828839;-8.47073555;-58.81492233
156;Pozo;6718;1/01/1998;Cafam Pozo 6;1003680;1021630;BOGOTµ D.C.;2554.06256;-61.9;-9.59;1;605977.2867;529724.2674;-74.04433474;4.791801574;177;0.829443;-7.954361439;-57.9794426
157;Pozo;8080;10/31/2017;;1003680;1021630;BOGOTµ D.C.;2554.06256;-61.9;-9.59;10;605977.2867;529724.2674;-74.04433474;4.791801574;177;0.829443;-7.954361439;-57.9794426
158;Pozo;6825;1/01/1999;;979620;1023380;MADRID;2590;-74.2;-10.45;1;581921.9677;531441.3497;-74.26122632;4.807602968;320;0.829688;-8.670235634;-61.11604691
159;Pozo;6656;1/01/1998;La Polonia 1;979820;1023380;MADRID;2587;-72.6;-10.44;1;582121.9031;531441.6195;-74.2594234;4.807603451;320;0.830482;-8.670235634;-61.11604691
160;Pozo;8089;10/31/2017;;979620;1023380;MADRID;2590;-72.6;-10.44;10;581921.9677;531441.3497;-74.26122632;4.807602968;320;0.830482;-8.670235634;-61.11604691
161;Pozo;6639;1/01/1998;El Part¡llal;1042680;1059900;CHOCONTµ;2657;-68.7;-9.32;1;644915.6634;568040.4621;-73.69257354;5.137762434;100;0.8329;-7.762630463;-47.51732635
162;Pozo;8068;10/31/2017;;1042680;1059900;CHOCONTµ;2657;-68.7;-9.32;10;644915.6634;568040.4621;-73.69257354;5.137762434;100;0.8329;-7.762630463;-47.51732635
163;Pozo;6679;1/01/1998;San Marino;974500;1016520;MADRID;2574;-75.3;-10.99;1;576812.8489;524576.7472;-74.30736041;4.745554038;183;0.834981;-9.176441193;-62.95465469
164;Pozo;8108;10/31/2017;;974500;1016515;MADRID;2573;-75.3;-10.99;10;576812.8556;524571.7489;-74.30736039;4.745508823;183;0.834981;-9.176441193;-62.95465469
165;Pozo;6684;1/01/1998;Agropecuaria San La2aro;984000;1019750;FUNZA;2581;-67.1;-9.5;1;586305.4576;527818.3905;-74.22173541;4.774786261;208;0.837301;-7.954361439;-57.9794426
166;Pozo;8111;10/31/2017;;984000;1019750;FUNZA;2581;-67.1;-9.5;10;586305.4576;527818.3905;-74.22173541;4.774786261;208;0.837301;-7.954361439;-57.9794426
167;Pozo;6822;1/01/2000;;993210;1031220;TENJO;2610;-62.7;-11.22;1;595497.1574;539297.4207;-74.13872381;4.878522434;220;0.839415;-9.418241501;-63.63973236
168;Pozo;6670;1/01/1998;Los Nogales;993360;1026100;TENJO;2584;-70.7;-10.09;1;595654.09;534179.1018;-74.13736739;4.832222195;145;0.839518;-8.47073555;-60.83000183
169;Pozo;8075;10/31/2017;;993360;1026100;TENJO;2584;-70.7;-10.09;10;595654.09;534179.1018;-74.13736739;4.832222195;145;0.839518;-8.47073555;-60.83000183
170;Pozo;6661;1/01/1998;Puente Piedra;984630;1023800;MADRID;2595;-70.9;-10.12;1;586929.8145;531867.978;-74.21606384;4.811411719;150;0.845385;-8.555293083;-59.90367126
171;Pozo;8105;10/31/2017;;984630;1023600;MADRID;2596;-70.9;-10.12;10;586930.0845;531668.04;-74.21606347;4.809603113;150;0.845385;-8.555293083;-59.90367126
172;Pozo;8138;11/02/2010;CAFAM No 1 - SUBA- (TORCA);1003734;1021513;BOGOTµ D.C.;2554.017235;-63.2;-9.4;11;606031.4299;529607.3707;-74.04384801;4.790743512;177;0.846209;-7.954361439;-57.9794426
173;Pozo;6824;1/01/1999;;981790;1026360;EL ROSAL;2602;-70;-10.11;1;584087.2414;534423.3309;-74.24167108;4.834556148;180;0.846221;-8.555293083;-61.91918564
174;Pozo;6636;1/01/1998;Finca Manas de Astorca;1023000;1050000;SUESCA;2592;-71.2;-10.17;1;625253.5232;558114.1993;-73.87009662;5.048319917;62;0.846695;-8.61088562;-57.81786346
175;Pozo;8182;11/18/2010;SEDE SOCIAL Y DEPORTIVA No 2 BAVARIA - USAQUEN- (TORCA);1004952;1023398;BOGOTµ D.C.;2557.785484;-65.7;-10;11;607246.574;531493.5203;-74.03286733;4.807789044;86.44;0.847074;-8.47073555;-58.81492233
176;Pozo;6667;1/01/1998;Noviciado Antiguo;998100;1026280;COTA;2584;-70.9;-9.98;1;600392.5082;534365.4795;-74.09463642;4.83385237;;0.848771;-8.47073555;-60.83000183
177;Pozo;6717;1/01/1998;Colegio Andino;1003110;1022150;BOGOTµ D.C.;2552.71296;-64.1;-9.67;1;605406.7369;530243.3639;-74.04947279;4.796504194;119.4;0.849958;-8.219093323;-55.4617157
178;Pozo;6663;1/01/1998;Agropuecuarta Las Vegas;984250;1021610;FUNZA;2587;-68.9;-9.63;1;586552.8833;529678.1466;-74.21948532;4.791606777;137;0.850749;-8.192713737;-60.92893982
179;Pozo;8101;10/31/2017;;984250;1021610;FUNZA;2587;-68.9;-9.63;10;586552.8833;529678.1466;-74.21948532;4.791606777;137;0.850749;-8.192713737;-60.92893982
180;Pozo;6643;1/01/1998;La Guapucha;969600;1026500;FACATATIVµ;2636;-68.9;-9.88;1;571901.1099;534546.746;-74.35156376;4.835786632;350;0.850775;-8.405658722;-57.53739929
181;Pozo;8118;10/31/2017;;969600;1026500;FACATATIVµ;2636;-68.9;-9.88;10;571901.1099;534546.746;-74.35156376;4.835786632;350;0.850775;-8.405658722;-57.53739929
182;Pozo;6625;1/01/1998;La Bolvora;1012340;1046670;ZIPAQUIRµ;2587;-72.2;-10.11;1;614600.6447;554769.898;-73.96623219;5.018230389;70;0.85172;-8.61088562;-57.81786346
183;Pozo;7245;1/01/2001;;1013250;1034560;SOPà;2582;-70.03;-11;1;615527.2948;542664.0612;-73.95804599;4.908718268;112;0.853858;-9.39244175;-66.65888977
184;Pozo;6669;1/01/1998;La Florida;985200;1024370;MADRID;2608;-71.6;-10.17;1;587498.8681;532438.5715;-74.21092647;4.816567273;251;0.857266;-8.718392372;-61.29544449
185;Pozo;8115;10/31/2017;;985200;1024370;MADRID;2608;-71.6;-10.17;10;587498.8681;532438.5715;-74.21092647;4.816567273;251;0.857266;-8.718392372;-61.29544449
186;Pozo;8072;10/31/2017;;1003110;1022150;BOGOTµ D.C.;2552.71296;-64.1;-9.57;10;605406.7369;530243.3639;-74.04947279;4.796504194;119.4;0.858839;-8.219093323;-55.4617157
187;Pozo;6664;1/01/1998;Chitasug  1;990923;1029930;TENJO;2603;-77.4;-10.91;1;593212.5879;538004.6697;-74.15934105;4.866854729;1000;0.863588;-9.421741486;-63.63973236
188;Pozo;8125;10/31/2017;;990923;1029930;TENJO;2603;-77.4;-10.91;10;593212.5879;538004.6697;-74.15934105;4.866854729;1000;0.863588;-9.421741486;-63.63973236
189;Pozo;7244;1/01/2001;;1015800;1041100;TOCANCIPµ;2584;-70.7;-10.78;1;618067.6329;549206.06;-73.93504263;4.967854937;253;0.864804;-9.322591782;-64.66546631
190;Pozo;6715;1/01/1998;Aer olea ver;1000600;1024420;BOGOTµ D.C.;2555.288177;-70.1;-9.77;1;602894.3443;532509.3727;-74.07209905;4.817032488;113;0.867015;-8.47073555;-58.81492233
191;Pozo;8069;10/31/2017;;1000600;1024420;BOGOTµ D.C.;2555.288177;-70.1;-9.77;10;602894.3443;532509.3727;-74.07209905;4.817032488;113;0.867015;-8.47073555;-58.81492233
192;Pozo;6630;1/01/1998;Los Pinos II;1025540;1047500;SESQUIL;2583;-67.4;-9.9;1;627796.5233;555618.3151;-73.84719928;5.025704893;86;0.869786;-8.61088562;-57.81786346
193;Pozo;8058;10/31/2017;;1025540;1047500;SESQUIL;2583;-67.4;-9.9;10;627796.5233;555618.3151;-73.84719928;5.025704893;86;0.869786;-8.61088562;-57.81786346
194;Pozo;8137;11/02/2010;CARMEL CLUB No 2 - SUBA- (SALITRE);1002967;1016227;BOGOTµ D.C.;2555.243881;-63.8;-9.4;11;605271.7029;524321.7341;-74.05076393;4.742942167;187;0.871118;-8.188512802;-52.62369156
195;Pozo;6648;1/01/1998;Sausallto;993210;1031220;TENJO;2610;-77.9;-10.8;1;595497.1574;539297.4207;-74.13872381;4.878522434;220;0.872059;-9.418241501;-63.63973236
196;Pozo;8112;10/31/2017;;993210;1031220;TENJO;2610;-77.9;-10.8;10;595497.1574;539297.4207;-74.13872381;4.878522434;220;0.872059;-9.418241501;-63.63973236
197;Aljibe;6797;1/01/1999;;973520;1019420;MADRID;2580;-65.65;-9.365;1;575829.307;527474.4609;-74.31620294;4.771775714;;0.873302;-8.178472519;-52.82256699
198;Pozo;6638;1/01/1998;El Cofrecito;1022700;1044500;GACHANCIPµ;2586;-71.4;-9.85;1;624961.3409;552614.9518;-73.87281749;4.998584603;88.5;0.874202;-8.61088562;-57.81786346
199;Pozo;8059;10/31/2017;;1022700;1044500;GACHANCIPµ;2586;-71.4;-9.85;10;624961.3409;552614.9518;-73.87281749;4.998584603;88.5;0.874202;-8.61088562;-57.81786346
200;Pozo;6645;1/01/1998;Tutuaba;991296;1030310;TENJO;2621;-77.7;-10.77;1;593584.9592;538385.0676;-74.15597869;4.870291482;142;0.874489;-9.418241501;-63.63973236
201;Pozo;8103;10/31/2017;;991296;1030310;TENJO;2621;-77.7;-10.77;10;593584.9592;538385.0676;-74.15597869;4.870291482;142;0.874489;-9.418241501;-63.63973236
202;Pozo;6626;1/01/1998;Santa Cecilia;1012070;1048290;ZIPAQUIRµ;2600;-71.3;-9.84;1;614328.4251;556389.1273;-73.96866448;5.032880429;68;0.87509;-8.61088562;-57.81786346
203;Pozo;6820;1/01/1999;;1012070;1048290;ZIPAQUIRµ;2600;-71.3;-9.84;1;614328.4251;556389.1273;-73.96866448;5.032880429;68;0.87509;-8.61088562;-57.81786346
