fid,ID_PUNTO,NOMBRE,TIPO,FECHA,ELEV_TERR,DEUT_2H,OXIG_18,Month,Lon,Lat,PROF_MAX,MUNICIPIO,iso_18 raster,d-excess,iso_2h raster,P/GW,P/GW 2H
311,pz 19 0015,TOCANCIPÁ pz 19 0015,Pozo profundo,10/31/2017,2586,-75,-10.39,10,-73.91276281,5.001580035,140,TOCANCIPÁ,-8.61089,-49.20698,-57.81786,0.82876708373436,0.7709048
312,pz 07 0033,TOCANCIPÁ pz 07 0033,Pozo profundo,1/01/2001,2584,-70.7,-10.78,1,-73.93504263,4.967854937,253,TOCANCIPÁ,-9.32259,-55.34287,-64.66547,0.86480426716141,0.914645968882603
313,aj 17 0002,TOCANCIPÁ aj 17 0002,Pozo profundo,10/31/2017,2595,-73.6,-10.22,10,-73.92331936,4.974182388,104,TOCANCIPÁ,-9.32259,-55.34287,-64.66547,0.912190802348336,0.878606929347826
314,246 II B 018,VILLAPINZÓN 246 II B 018,Manantial,1/01/1999,2788,-71.2,-9.78,1,-73.63191644,5.209250603,0.1,VILLAPINZÓN,-7.0472,-35.43819,-42.48539,0.720572597137014,0.596704915730337
315,pz 11 0010,VILLAPINZÓN pz 11 0010,Manantial,10/31/2017,2788,-71.2,-9.78,10,-73.63191644,5.209250603,0.1,VILLAPINZÓN,-7.0472,-35.43819,-42.48539,0.720572597137014,0.596704915730337
316,209 III B 077,ZIPAQUIRÁ 209 III B 077,Pozo somero,1/01/1999,2600,-71.3,-9.84,1,-73.96866448,5.032880429,68,ZIPAQUIRÁ,-8.61089,-49.20698,-57.81786,0.875090447154471,0.810909677419355
317,209 III B 077,ZIPAQUIRÁ 209 III B 077,Pozo somero,10/31/2017,2667,-70.5,-9.92,10,-73.98915089,4.910622144,83,ZIPAQUIRÁ,-9.55089,-55.8305,-65.38139,0.962791330645161,0.927395602836879
318,PZ-227-IV-D-103 (140m),PZ-227-IV-D-103 (140m),Pozo profundo,2022/11/29,2560,-60.7,-9.1,11,-74.0809343,4.6397247,140,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.824386813186813,0.795801153212521
319,PZ-227-IV-D-103 (140m),PZ-227-IV-D-103 (140m),Pozo profundo,2023/01/31,2560,-60.6,-8.93,1,-74.0809343,4.6397247,140,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.840080627099664,0.797114356435644
320,PZ-227-IV-D-103 (140m),PZ-227-IV-D-103 (140m),Pozo profundo,2023/02/28,2560,-59.7,-8.83,2,-74.0809343,4.6397247,140,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.84959456398641,0.809131155778894
321,PZ-227-IV-D-103 (140m),PZ-227-IV-D-103 (140m),Pozo profundo,2023/03/25,2560,-61.3,-9.11,3,-74.0809343,4.6397247,140,BOGOTÁ D.C.,-7.50192,-40.80321,-48.30513,0.823481888035126,0.788011908646003
